artist_count,bpm,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,days_since_release,key_A#,key_B,key_C,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#,mode_Minor,platform_presence_summary,log_streams,platform_presence_summary danceability,platform_presence_summary energy,platform_presence_summary bpm,platform_presence_summary valence,platform_presence_summary artist_count,danceability energy,danceability bpm,danceability valence,danceability artist_count,energy bpm,energy valence,energy artist_count,bpm valence,bpm artist_count,valence artist_count
2,0.09294648715551375,0.890425984841159,1.6061410424827,1.1327516828727389,0.1527428547718504,-0.18750867814799804,-0.7451713718043743,-0.6186004639969765,-0.43738951901066864,False,True,False,False,False,False,False,False,False,False,False,False,1887.0,-1.0821531259572974,1680.233833395267,2137.502425580858,175.39002126245444,3030.788147164855,3774.0,1.0086315328024387,0.08276196736297446,1.4301497195464639,1.780851969682318,0.10528528974251761,1.8193589688032537,2.2655033657454777,0.14928516777506173,0.1858929743110275,3.2122820849654
1,-1.084841486003646,0.275079190246696,0.4136360763203947,0.5898351958153906,-0.7700616061300057,-0.18750867814799804,-0.5995428026067456,-0.6186004639969765,-0.4083134103303158,False,False,False,True,False,False,False,False,False,False,False,False,2150.0,-1.1228604328415224,591.4202590303964,1268.1456710030898,-2332.409194907839,889.3175640888486,2150.0,0.16225138804389902,-0.29841731751590533,0.11378267693103472,0.275079190246696,-0.6398776903256198,0.24397711607274983,0.5898351958153906,-0.44872957570013444,-1.084841486003646,0.4136360763203947
1,0.5569235674909403,-1.0923581310743329,-0.8214583529191359,-0.6769699406517559,-0.385559747420899,-0.18750867814799804,0.929557173968356,-0.4160792658410289,-0.4337871692626603,False,False,False,False,False,False,False,True,False,False,False,False,2865.0,-1.0893484839632268,-3129.6060455279635,-1939.5188799672806,1595.586020861544,-2353.4781811133244,2865.0,0.739493619163854,-0.6083599873356537,0.8973267111501471,-1.0923581310743329,-0.377020514431906,0.5561026124235566,-0.6769699406517559,-0.45748951645295705,0.5569235674909403,-0.8214583529191359
1,1.6990209960089133,-0.818870666810127,0.28586768708871907,0.4691870875804242,-0.616260862646363,-0.18750867814799804,-0.5267285180079312,0.4952661258607353,-0.07175101958782432,False,False,False,False,False,False,False,False,False,False,False,False,8966.0,0.4066402091684945,-7341.9943986195985,4206.7314272460835,15233.422250215917,2563.0896824374554,8966.0,-0.3842035432656834,-1.391278455926225,-0.23408866354580812,-0.818870666810127,0.7971587128554136,0.13412542753850815,0.4691870875804242,0.48569520244423986,1.6990209960089133,0.28586768708871907
1,0.7710668353380602,-0.13515200614961265,-1.2047635206141627,0.9517795205202895,-0.500910305033631,7.279601123551709,-0.5267285180079312,-0.4160792658410289,-0.42272280932234907,False,False,False,False,False,False,False,False,False,False,False,True,3927.0,-0.47115371642668513,-530.7419281495289,3737.6381770831767,3027.9794623725625,-4731.106345451817,3927.0,-0.12863491161043353,-0.10421122967137188,0.1628262067468743,-0.13515200614961265,0.733885622827156,-1.1466692459904837,0.9517795205202895,-0.9289531951707023,0.7710668353380602,-1.2047635206141627
2,0.6639952014145003,1.7108883776337762,0.6265833917065207,-0.37534967006434006,-0.30865937567907764,-0.18750867814799804,-0.7451713718043743,1.4066115175624996,-0.4263251590703574,False,False,False,True,False,False,False,False,False,False,False,False,3608.0,-0.883095986539246,6172.885266502664,-1354.261609592139,2395.694686703517,2260.7128772771266,7216.0,-0.642181388061752,1.1360216729046668,1.072014242489038,3.4217767552675524,-0.2492303797752377,-0.23518786934483768,-0.7506993401286801,0.4160483653791519,1.3279904028290006,1.2531667834130413
2,0.9138290139028069,0.0015917259824902426,1.350604264019349,0.7104833040503569,0.8063960145773318,-0.18750867814799804,-0.7451713718043743,-0.7198610630749503,-0.40651223545631165,False,False,False,False,False,False,False,True,False,False,False,True,3870.0,0.3146307023097953,6.159979552237239,2749.570386674881,3536.5182838038627,5226.838501754881,7740.0,0.001130894735182468,0.001454565384982535,0.002149791899101709,0.003183451964980485,0.6492602571347458,0.9595817799649675,1.4209666081007137,1.234221362761728,1.8276580278056138,2.701208528038698
1,-0.7993171288741526,0.0015917259824902426,-1.076995131382487,0.40886303346294106,0.3834439699973144,-0.18750867814799804,-0.5267285180079312,-0.6186004639969765,-0.4355883441366645,False,False,False,False,False,False,False,True,False,False,False,False,1108.0,-1.6497799047380886,1.7636323885991887,453.0202410769387,-885.6433787925611,-1193.3106055717956,1108.0,0.0006507979136427408,-0.0012722938422784905,-0.001714281133636997,0.0015917259824902426,-0.32681122601037466,-0.4403434964418624,0.40886303346294106,0.8608606562280904,-0.7993171288741526,-1.076995131382487
1,0.27139921036144704,1.2322853151714162,-1.247352983691388,-0.1340534535944074,-0.5778106767754524,-0.18750867814799804,0.7111143201719129,-0.11229746860710747,-0.4219508772334901,False,False,False,True,False,False,False,False,False,False,False,True,2461.0,-1.3568976967353759,3032.654160636855,-329.90554929583664,667.9134566995211,-3069.735692864506,2461.0,-0.16519210231240114,0.33444126147752923,-1.5370947646381483,1.2322853151714162,-0.036382001451747054,0.16721197531511908,-0.1340534535944074,-0.3385306148158376,0.27139921036144704,-1.247352983691388
2,1.6990209960089133,0.9587978509072104,0.2006887609342687,-0.9785902112391717,-0.23175900393725632,-0.18750867814799804,-0.7451713718043743,2.317956909264264,-0.4067695461525979,False,False,False,False,True,False,False,False,False,False,False,True,3574.0,0.06375962603544731,3426.7435191423697,-3497.4814149687995,6072.301039735857,717.2616315790764,7148.0,-0.9382701914549508,1.629017679619574,0.19241995268500775,1.9175957018144207,-1.6626453153841503,-0.19639205695599365,-1.9571804224783433,0.34097441849033594,3.3980419920178266,0.4013775218685374
