artist_count,bpm,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,days_since_release,key_A#,key_B,key_C,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#,mode_Minor,platform_presence_summary,log_streams,platform_presence_summary danceability,platform_presence_summary energy,platform_presence_summary bpm,platform_presence_summary valence,platform_presence_summary artist_count,danceability energy,danceability bpm,danceability valence,danceability artist_count,energy bpm,energy valence,energy artist_count,bpm valence,bpm artist_count,valence artist_count
2,0.42553191489361697,0.7808219178082192,0.913978494623656,0.8409090909090909,0.31958762886597936,0.0,0.05319148936170213,0.03225806451612903,0.0,False,True,False,False,False,False,False,False,False,False,False,False,1887.0,0.0345458523020066,1473.4109589041095,1586.7954545454545,802.9787234042552,1724.6774193548388,3774.0,0.6566002490660026,0.3322646458758379,0.7136544410075122,1.5616438356164384,0.3578336557059961,0.768572825024438,1.6818181818181819,0.38892701898878973,0.8510638297872339,1.827956989247312
1,0.1914893617021276,0.6575342465753424,0.6129032258064517,0.7386363636363636,0.07216494845360824,0.0,0.07446808510638298,0.03225806451612903,0.0037946203700594365,False,False,False,True,False,False,False,False,False,False,False,False,2150.0,0.0325382757878441,1413.6986301369861,1588.0681818181818,411.70212765957433,1317.7419354838712,2150.0,0.48567870485678705,0.1259108131740017,0.4030048608042422,0.6575342465753424,0.14144100580270788,0.4527126099706746,0.7386363636363636,0.11736444749485242,0.1914893617021276,0.6129032258064517
1,0.5177304964539007,0.38356164383561636,0.3010752688172043,0.5,0.17525773195876287,0.0,0.2978723404255319,0.06451612903225806,0.0004701299573524956,False,False,False,False,False,False,False,True,False,False,False,False,2865.0,0.03418532136267776,1098.904109589041,1432.5,1483.2978723404256,862.5806451612904,2865.0,0.19178082191780818,0.1985815602836879,0.11548092502577698,0.38356164383561636,0.25886524822695034,0.15053763440860216,0.5,0.1558758483947228,0.5177304964539007,0.3010752688172043
1,0.7446808510638298,0.43835616438356156,0.5806451612903226,0.7159090909090909,0.1134020618556701,0.0,0.08510638297872342,0.20967741935483872,0.04771819067127842,False,False,False,False,False,False,False,False,False,False,False,False,8966.0,0.19371769187353283,3930.301369863013,6418.840909090909,6676.808510638298,5206.064516129032,8966.0,0.3138231631382316,0.3264354415622267,0.2545293857711003,0.43835616438356156,0.5331237911025145,0.4156891495601173,0.7159090909090909,0.43239533287577214,0.7446808510638298,0.5806451612903226
1,0.5602836879432623,0.5753424657534247,0.20430107526881724,0.8068181818181819,0.14432989690721648,0.6923076923076924,0.08510638297872342,0.06451612903225806,0.0019141005406494507,False,False,False,False,False,False,False,False,False,False,False,True,3927.0,0.07602102519599485,2259.369863013699,3168.3750000000005,2200.234042553191,802.2903225806454,3927.0,0.4641967621419677,0.32235499854269895,0.11754308440123734,0.5753424657534247,0.4520470664087685,0.16483382209188666,0.8068181818181819,0.11446655990238695,0.5602836879432623,0.20430107526881724
2,0.5390070921985816,0.9452054794520548,0.6666666666666667,0.5568181818181818,0.1958762886597938,0.0,0.05319148936170213,0.3548387096774194,0.0014439705832969517,False,False,False,True,False,False,False,False,False,False,False,False,3608.0,0.045558684139944586,3410.301369863014,2008.9999999999998,1944.7375886524824,2405.3333333333335,7216.0,0.5263075965130759,0.5094724570096182,0.6301369863013699,1.8904109589041096,0.3001289490651193,0.3712121212121212,1.1136363636363635,0.35933806146572106,1.0780141843971631,1.3333333333333335
2,0.5886524822695035,0.6027397260273972,0.849462365591398,0.7613636363636364,0.4948453608247423,0.0,0.05319148936170213,0.016129032258064516,0.004029685348735684,False,False,False,False,False,False,False,True,False,False,False,True,3870.0,0.17687235506412508,2332.6027397260273,2946.4772727272725,2278.0851063829787,3287.41935483871,7740.0,0.45890410958904104,0.3548042358884678,0.5120047135071439,1.2054794520547945,0.44817859445519015,0.6467497556207235,1.5227272727272727,0.500038130099901,1.177304964539007,1.698924731182796
1,0.24822695035460995,0.6027397260273972,0.23655913978494625,0.7045454545454546,0.38144329896907214,0.0,0.08510638297872342,0.03225806451612903,0.0002350649786762478,False,False,False,False,False,False,False,True,False,False,False,False,1108.0,0.01252851927297206,667.8356164383562,780.6363636363636,275.0354609929078,262.10752688172045,1108.0,0.4246575342465753,0.14961624404935395,0.14258359110325527,0.6027397260273972,0.17488716956802067,0.16666666666666669,0.7045454545454546,0.058720353847327086,0.24822695035460995,0.23655913978494625
1,0.46099290780141844,0.8493150684931507,0.1935483870967742,0.6022727272727273,0.12371134020618557,0.0,0.26595744680851063,0.1129032258064516,0.002014842674367842,False,False,False,True,False,False,False,False,False,False,False,True,2461.0,0.022393968375681174,2090.164383561644,1482.1931818181818,1134.5035460992908,476.3225806451613,2461.0,0.5115193026151931,0.3915282230642184,0.16438356164383564,0.8493150684931507,0.2776434558349452,0.11656891495601174,0.6022727272727273,0.08922443376801648,0.46099290780141844,0.1935483870967742
2,0.7446808510638298,0.7945205479452055,0.5591397849462366,0.4431818181818181,0.21649484536082475,0.0,0.05319148936170213,0.5,0.003996104637496219,False,False,False,False,True,False,False,False,False,False,False,True,3574.0,0.1369767946247261,2839.6164383561645,1583.931818181818,2661.4893617021276,1998.3655913978496,7148.0,0.3521170610211706,0.591664237831536,0.44424804831344833,1.589041095890411,0.33002901353965175,0.24780058651026393,0.8863636363636362,0.4163806909174102,1.4893617021276595,1.1182795698924732
